name,lon,lat
BP01,172.8235942,-43.6042051
BP02,172.8556457,-43.603089
BP03,172.8765415,-43.608227
BP05,172.9110059,-43.6229797
BP06,172.9315383,-43.6225947
BP08,172.9813733,-43.6334183
BP10,173.0244482,-43.6511925
BP13,172.8010247,-43.5928866
BP14,172.7947874,-43.5819055
LH01,172.78884,-43.596058
LH02,172.7641239,-43.5973972
LH07,172.7555973,-43.6191169
LH10,172.7882437,-43.6167156
PB02,172.9037681,-43.638487
PB03,172.8984953,-43.6507099
PB10,172.914343,-43.650323
PB11,172.917545,-43.641734
PL02,172.8290112,-43.6170158
PL03,172.8272536,-43.6271162
PL14,172.8394938,-43.6290343
PL16,172.8450911,-43.6160304
